number,story,アクター,アクティビティ,タスク,やりたいこと,なぜ,ユースケース
1,STORY-01,来店者,読みたい本を見つける,狙った本を探し当てる,キーワードと並び順を指定して本を探したい,買いたい本が店にあるかを棚を端から見ずに確かめたいから,UC-CUST-02
2,STORY-02,来店者,読みたい本を見つける,目当てのないまま本に出会う,トップページで売れ筋の本を眺めたい,どんな本を扱う店かを知り目当てがなくても読みたい本に出会いたいから,UC-CUST-01
3,STORY-03,来店者,読みたい本を見つける,買うかどうかを見極める,本の状態と価格と概要を詳細画面で確かめたい,中古本は 1 冊ごとに状態が違い買うかどうかを自分で判断したいから,UC-CUST-03
4,STORY-04a,来店者,買う本をかごにためる,かごに入れる,詳細画面から気になった本をかごに入れたい,買うと決めた本を取り置いて探し続けたあとでまとめて注文したいから,UC-CUST-04
5,STORY-04b,来店者,買う本をかごにためる,かごの中身を見直す,かごの中身と合計金額を確認したい,今いくら分を買おうとしているかを注文に進む前に確かめたいから,UC-CUST-06
6,STORY-04c,来店者,買う本をかごにためる,かごの中身を見直す,かごに入れた本を 1 件ずつ取り除きたい,買うのをやめた本を入れたまま注文してしまうのを避けたいから,UC-CUST-07
7,STORY-11a,来店者,今は買わない本を控えておく,気になった本を控える,今は買わない本を欲しい物リストに入れたい,気になった本を買わずに立ち去っても忘れずにいたいから,UC-CUST-05
8,STORY-11b,来店者,今は買わない本を控えておく,気になった本を控える,欲しい物リストの本を一覧で見たい,前に見つけて後で買おうと思っていた本を思い出したいから,UC-CUST-08
9,STORY-11c,来店者,今は買わない本を控えておく,控えた本を買う本に変える,欲しい物リストの本を 1 件だけかごへ移したい,やっぱり買うと決めた本を探し直さずに注文へ進めたいから,UC-CUST-09
10,STORY-11d,来店者,今は買わない本を控えておく,控えた本を買う本に変える,欲しい物リストの本をまとめてかごへ移したい,控えておいた本を全部買うと決めたときに一度の操作で済ませたいから,UC-CUST-10
11,STORY-11e,来店者,今は買わない本を控えておく,控えを整理する,欲しい物リストから本を取り除きたい,もう欲しくない本を控えに残してリストを見づらくしたくないから,UC-CUST-11
12,STORY-05c,顧客,注文を確定する,届け先を用意する,届け先の住所を登録しておきたい,注文のたびに住所を入力し直さず登録済みの一覧から選んで注文したいから,UC-CUST-15
13,STORY-05a,顧客,注文を確定する,配送先を決めて注文する,配送先を選んでかごの中身を注文したい,選んだ本を自分が届けてほしい場所に送ってもらいたいから,UC-CUST-12
14,STORY-19,顧客,注文を確定する,配送先を決めて注文する,注文を確定するその場でクレジットカード等で代金を支払いたい,振込や店とのやり取りを別に済ませる手間なく注文と支払いを一度で終わらせたいから,(見送り)
15,STORY-05b,顧客,注文を確定する,注文できたことを確かめる,注文が成立したこととその中身を注文直後に確認したい,頼んだつもりが通っていなかったという不安を残したくないから,UC-CUST-13
16,STORY-08a,顧客,注文の行方を見届ける,注文の進み具合を確かめる,自分の注文を一覧で見たい,頼んだ本が今どこまで進んでいるかを知りたいから,UC-CUST-18
17,STORY-08b,顧客,注文の行方を見届ける,注文の進み具合を確かめる,注文の明細と合計金額を詳細画面で見たい,何をいくらで頼んだのかをあとから確かめたいから,UC-CUST-19
18,STORY-09,顧客,注文の行方を見届ける,注文をやめる,発送前の注文を取り消したい,間違えて注文したときや都合が変わったときに届く前にやめたいから,UC-CUST-20
19,STORY-10a,顧客,届け先を管理する,登録した届け先を見直す,登録済みの届け先住所を一覧で見たい,どの届け先を登録してあるかを見直したいから,UC-CUST-14
20,STORY-10b,顧客,届け先を管理する,届け先を直す・減らす,登録済みの住所を書き換えたい,引っ越しや入力の誤りをそのままにして届かない場所へ送られたくないから,UC-CUST-16
21,STORY-10c,顧客,届け先を管理する,届け先を直す・減らす,使わなくなった住所を削除したい,注文のたびに現れる届け先の選択肢から外して選び間違えを防ぎたいから,UC-CUST-17
22,STORY-12,顧客,手持ちの本を売る,買取を申し込む,読み終えた本の情報と希望買取価格を出して買取を申し込みたい,本棚を空けてその代金を次に読む本にあてたいから,UC-CUST-21
23,STORY-13,顧客,手持ちの本を売る,申込の行方を見届ける,自分の買取申込の状態を一覧で見たい,承認されたか支払われたかを知って現物を送ってよいか判断したいから,UC-CUST-22
24,STORY-20,顧客,手持ちの本を売る,申込の行方を見届ける,買取の承認や支払いと注文の出荷や配達をメール等の知らせで受け取りたい,画面を自分から見に行かなくても本を店に送るなど次にすべきことに気づけるから,(見送り)
25,STORY-06a,店舗スタッフ,注文を届ける,手を打つべき注文を見つける,注文を状態・注文日・納期超過で絞り込んで一覧したい,今日出すべき荷物と遅れている注文をすぐ見つけたいから,UC-STAFF-02
26,STORY-06b,店舗スタッフ,注文を届ける,何をどこへ送るかを確かめる,注文の配送先と品物と金額を詳細画面で確認したい,何をどこへいくらで送るのかを荷造りの前に確かめたいから,UC-STAFF-03
27,STORY-06c,店舗スタッフ,注文を届ける,履行の進みを記録する,届いた注文を受け付けたことを記録したい,手を付けた注文とまだ手つかずの注文を見分けたいから,UC-STAFF-04
28,STORY-06d,店舗スタッフ,注文を届ける,履行の進みを記録する,荷造りの済んだ注文を出荷したことを記録したい,発送し終えた注文を次に出す荷物の一覧から外したいから,UC-STAFF-05
29,STORY-06e,店舗スタッフ,注文を届ける,履行の進みを記録する,注文の配達完了を記録したい,届け終えた注文を納期超過の数から外しまだ届いていない注文だけを追いたいから,UC-STAFF-06
30,STORY-14a,店舗スタッフ,買取を裁く,手を打つべき申込を見つける,買取申込を書名・ジャンル・状態で絞り込んで一覧したい,今どの申込に手を打つべきかを見つけたいから,UC-STAFF-07
31,STORY-14b,店舗スタッフ,買取を裁く,買うか断るかを決める,買い取ると決めた申込を承認したい,買うと決めた本だけを顧客に送ってもらいたいから,UC-STAFF-08
32,STORY-14c,店舗スタッフ,買取を裁く,買うか断るかを決める,買い取らないと決めた申込を却下したい,扱わない本を送られて店で抱え込むのを防ぎたいから,UC-STAFF-09
33,STORY-21,店舗スタッフ,買取を裁く,買うか断るかを決める,顧客の希望額と違う買取額を提示し直して交渉したい,承認か却下の二択しかないと額さえ折り合えば買えた本まで断ることになるから,(見送り)
34,STORY-15a,店舗スタッフ,買取を裁く,現物と代金をやり取りする,送られてきた現物を受け取ったことを記録したい,現物が届いた申込だけを支払の対象にしたいから,UC-STAFF-10
35,STORY-15b,店舗スタッフ,買取を裁く,現物と代金をやり取りする,買取代金を支払ったことを記録したい,支払の済んだ本だけを棚入れへ進めて二重払いを防ぎたいから,UC-STAFF-11
36,STORY-07a,店舗スタッフ,売り物になる在庫を整える,目的の本にたどり着く,在庫の書籍を一覧したい,店に今どんな本が何冊あるかを把握したいから,UC-STAFF-12（一覧）
37,STORY-22,店舗スタッフ,売り物になる在庫を整える,目的の本にたどり着く,在庫を書名・分類・在庫僅少・在庫切れで絞り込みたい,買取が始まると棚が急に育ち一覧を目で追うだけでは目的の本に辿り着けないから,UC-STAFF-12（絞り込み）
38,STORY-07b,店舗スタッフ,売り物になる在庫を整える,1 冊の採算を確かめる,書籍 1 冊の売価と仕入原価と粗利見込を詳細画面で見たい,その 1 冊が儲けになっているかを確かめたいから,UC-STAFF-13
39,STORY-16,店舗スタッフ,売り物になる在庫を整える,買い取った本を売り場に出す,支払済の申込に売価を付けて在庫の本として棚に載せたい,買い取った本は売り場に出して売れて初めて利益になるから,UC-STAFF-16
40,STORY-07c,店舗スタッフ,売り物になる在庫を整える,買取以外で入った本を登録する,買取以外の経路で入ってきた本を手入力で在庫に登録したい,仕入れた本は棚に載せて初めて売り物になるから,UC-STAFF-14
41,STORY-23a,店舗スタッフ,売り物になる在庫を整える,買取以外で入った本を登録する,書籍を手入力で登録するとき本の状態が分かる写真を載せたい,中古本の見た目や傷み具合を来店者が買う前に確かめられるようにしたいから,UC-STAFF-14（画像）
42,STORY-07d,店舗スタッフ,売り物になる在庫を整える,登録済みの本を手入れする,登録済みの書籍の売価・記載・在庫数を更新したい,値付けの見直しや誤記の訂正や棚卸しの結果を在庫に反映したいから,UC-STAFF-15
43,STORY-23b,店舗スタッフ,売り物になる在庫を整える,登録済みの本を手入れする,書籍を更新するとき表紙写真を差し替えたい,状態が伝わらない写真のままにせず実物に合った見え方にしたいから,UC-STAFF-15（画像）
44,STORY-18a,店舗スタッフ,分類の選択肢を保守する,選べる分類を把握する,出版社やジャンルなどの参照データを種別ごとに一覧したい,今どの分類項目が選べる状態かを把握したいから,UC-STAFF-17
45,STORY-18b,店舗スタッフ,分類の選択肢を保守する,分類の選択肢を増やす・直す,新しい出版社やジャンルを参照データに追加したい,一覧にない出版社やジャンルの本を分類できずに登録できないままにしたくないから,UC-STAFF-18
46,STORY-18c,店舗スタッフ,分類の選択肢を保守する,分類の選択肢を増やす・直す,参照データ項目の名称を変更したい,表記ゆれや誤字をそのままにせず分類の見え方を揃えたいから,UC-STAFF-19
47,STORY-17,店舗スタッフ,事業の状況を把握する,今日の仕事量と金の出入りを見る,今日の仕事量と売上と買取支出をダッシュボードで一目で見たい,仕入と値付けを勘ではなく数字で判断したいから,UC-STAFF-01
